2022-12-10 12:47:15,275 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-12-10 12:47:15,275 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-12-10 13:14:56,197 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-12-10 13:14:56,197 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-12-10 13:14:56,198 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-12-10 13:14:56,978 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-12-10 13:14:57,071 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2022-12-10 13:14:57,125 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-12-10 13:14:58,846 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 7 results
2022-12-10 13:14:59,072 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2022-12-10 13:14:59,214 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-12-10 13:14:59,368 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-12-10 13:14:59,877 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Kvantum Manager (/usr/share/applications/kvantummanager.desktop) Exec ['kvantummanager']
2022-12-10 13:14:59,884 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-12-10 13:23:42,116 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:42,116 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:23:44,118 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:44,119 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:23:46,120 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:46,120 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:23:48,123 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:48,123 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
